user_id,item_id,rating,timestamp
196,242,3.0,881250949
186,302,3.0,891717742
22,377,1.0,878887116
244,51,2.0,880606923
166,346,1.0,886397596
298,474,4.0,884182806
115,265,2.0,881171488
253,465,5.0,891628467
305,451,3.0,886324817
6,86,3.0,883603013
62,257,2.0,879372434
286,1014,5.0,879781125
200,222,5.0,876042340
210,40,3.0,891035994
224,29,3.0,888104457
303,785,3.0,879485318
122,387,5.0,879270459
194,274,2.0,879539794
291,1042,4.0,874834944
234,1184,2.0,892079237
119,392,4.0,886176814
167,486,4.0,892738452
299,144,4.0,877881320
291,118,2.0,874833878
308,1,4.0,887736532
95,546,2.0,879196566
38,95,5.0,892430094
102,768,2.0,883748450
63,277,4.0,875747401
160,234,5.0,876861185
50,246,3.0,877052329
301,98,4.0,882075827
225,193,4.0,879539727
290,88,4.0,880731963
97,194,3.0,884238860
157,274,4.0,886890835
181,1081,1.0,878962623
278,603,5.0,891295330
276,796,1.0,874791932
7,32,4.0,891350932
10,16,4.0,877888877
284,304,4.0,885329322
201,979,2.0,884114233
276,564,3.0,874791805
287,327,5.0,875333916
246,201,5.0,884921594
242,1137,5.0,879741196
249,241,5.0,879641194
99,4,5.0,886519097
178,332,3.0,882823437
251,100,4.0,886271884
81,432,2.0,876535131
260,322,4.0,890618898
25,181,5.0,885853415
59,196,5.0,888205088
72,679,2.0,880037164
87,384,4.0,879877127
290,143,5.0,880474293
42,423,5.0,881107687
292,515,4.0,881103977
115,20,3.0,881171009
20,288,1.0,879667584
201,219,4.0,884112673
13,526,3.0,882141053
246,919,4.0,884920949
138,26,5.0,879024232
167,232,1.0,892738341
60,427,5.0,883326620
57,304,5.0,883698581
223,274,4.0,891550094
189,512,4.0,893277702
243,15,3.0,879987440
92,1049,1.0,890251826
246,416,3.0,884923047
194,165,4.0,879546723
241,690,2.0,887249482
178,248,4.0,882823954
254,1444,3.0,886475558
293,5,3.0,888906576
127,229,5.0,884364867
225,237,5.0,879539643
299,229,3.0,878192429
225,480,5.0,879540748
276,54,3.0,874791025
291,144,5.0,874835091
222,366,4.0,878183381
267,518,5.0,878971773
42,403,3.0,881108684
11,111,4.0,891903862
95,625,4.0,888954412
8,338,4.0,879361873
162,25,4.0,877635573
87,1016,4.0,879876194
279,154,5.0,875296291
145,275,2.0,885557505
119,1153,5.0,874781198
62,498,4.0,879373848
62,382,3.0,879375537
28,209,4.0,881961214
135,23,4.0,879857765
32,294,3.0,883709863
90,382,5.0,891383835
286,208,4.0,877531942
293,685,3.0,888905170
216,144,4.0,880234639
166,328,5.0,886397722
250,496,4.0,878090499
271,132,5.0,885848672
160,174,5.0,876860807
265,118,4.0,875320714
198,498,3.0,884207492
42,96,5.0,881107178
168,151,5.0,884288058
110,307,4.0,886987260
58,144,4.0,884304936
90,648,4.0,891384754
271,346,4.0,885844430
62,21,3.0,879373460
279,832,3.0,881375854
237,514,4.0,879376641
